trip_id,arrival_time,departure_time,stop_id,stop_sequence
T01_0600,06:00:00,06:01:00,S01,1
T01_0600,06:05:00,06:06:00,S06,2
T01_0600,06:12:00,06:13:00,S07,3
T01_0600,06:20:00,06:21:00,S08,4
T01_0620,06:20:00,06:21:00,S01,1
T01_0620,06:25:00,06:26:00,S06,2
T01_0620,06:32:00,06:33:00,S07,3
T01_0620,06:40:00,06:41:00,S08,4
T01_0640,06:40:00,06:41:00,S01,1
T01_0640,06:45:00,06:46:00,S06,2
T01_0640,06:52:00,06:53:00,S07,3
T01_0640,07:00:00,07:01:00,S08,4
T01_0700,07:00:00,07:01:00,S01,1
T01_0700,07:05:00,07:06:00,S06,2
T01_0700,07:12:00,07:13:00,S07,3
T01_0700,07:20:00,07:21:00,S08,4
T01_0720,07:20:00,07:21:00,S01,1
T01_0720,07:25:00,07:26:00,S06,2
T01_0720,07:32:00,07:33:00,S07,3
T01_0720,07:40:00,07:41:00,S08,4
T01_0740,07:40:00,07:41:00,S01,1
T01_0740,07:45:00,07:46:00,S06,2
T01_0740,07:52:00,07:53:00,S07,3
T01_0740,08:00:00,08:01:00,S08,4
T01_0800,08:00:00,08:01:00,S01,1
T01_0800,08:05:00,08:06:00,S06,2
T01_0800,08:12:00,08:13:00,S07,3
T01_0800,08:20:00,08:21:00,S08,4
T02_0610,06:10:00,06:11:00,S02,1
T02_0610,06:16:00,06:17:00,S09,2
T02_0610,06:22:00,06:23:00,S10,3
T02_0610,06:30:00,06:31:00,S21,4
T02_0610,06:40:00,06:41:00,S11,5
T02_0630,06:30:00,06:31:00,S02,1
T02_0630,06:36:00,06:37:00,S09,2
T02_0630,06:42:00,06:43:00,S10,3
T02_0630,06:50:00,06:51:00,S21,4
T02_0630,07:00:00,07:01:00,S11,5
T02_0650,06:50:00,06:51:00,S02,1
T02_0650,06:56:00,06:57:00,S09,2
T02_0650,07:02:00,07:03:00,S10,3
T02_0650,07:10:00,07:11:00,S21,4
T02_0650,07:20:00,07:21:00,S11,5
T02_0710,07:10:00,07:11:00,S02,1
T02_0710,07:16:00,07:17:00,S09,2
T02_0710,07:22:00,07:23:00,S10,3
T02_0710,07:30:00,07:31:00,S21,4
T02_0710,07:40:00,07:41:00,S11,5
T02_0730,07:30:00,07:31:00,S02,1
T02_0730,07:36:00,07:37:00,S09,2
T02_0730,07:42:00,07:43:00,S10,3
T02_0730,07:50:00,07:51:00,S21,4
T02_0730,08:00:00,08:01:00,S11,5
T02_0750,07:50:00,07:51:00,S02,1
T02_0750,07:56:00,07:57:00,S09,2
T02_0750,08:02:00,08:03:00,S10,3
T02_0750,08:10:00,08:11:00,S21,4
T02_0750,08:20:00,08:21:00,S11,5
T03_0605,06:05:00,06:06:00,S12,1
T03_0605,06:09:00,06:10:00,S04,2
T03_0605,06:13:00,06:14:00,S17,3
T03_0605,06:17:00,06:18:00,S03,4
T03_0605,06:22:00,06:23:00,S18,5
T03_0605,06:27:00,06:28:00,S12,6
T03_0625,06:25:00,06:26:00,S12,1
T03_0625,06:29:00,06:30:00,S04,2
T03_0625,06:33:00,06:34:00,S17,3
T03_0625,06:37:00,06:38:00,S03,4
T03_0625,06:42:00,06:43:00,S18,5
T03_0625,06:47:00,06:48:00,S12,6
T03_0645,06:45:00,06:46:00,S12,1
T03_0645,06:49:00,06:50:00,S04,2
T03_0645,06:53:00,06:54:00,S17,3
T03_0645,06:57:00,06:58:00,S03,4
T03_0645,07:02:00,07:03:00,S18,5
T03_0645,07:07:00,07:08:00,S12,6
T03_0705,07:05:00,07:06:00,S12,1
T03_0705,07:09:00,07:10:00,S04,2
T03_0705,07:13:00,07:14:00,S17,3
T03_0705,07:17:00,07:18:00,S03,4
T03_0705,07:22:00,07:23:00,S18,5
T03_0705,07:27:00,07:28:00,S12,6
T03_0725,07:25:00,07:26:00,S12,1
T03_0725,07:29:00,07:30:00,S04,2
T03_0725,07:33:00,07:34:00,S17,3
T03_0725,07:37:00,07:38:00,S03,4
T03_0725,07:42:00,07:43:00,S18,5
T03_0725,07:47:00,07:48:00,S12,6
T04_0615,06:15:00,06:16:00,S05,1
T04_0615,06:20:00,06:21:00,S16,2
T04_0615,06:27:00,06:28:00,S20,3
T04_0615,06:35:00,06:36:00,S07,4
T04_0615,06:43:00,06:44:00,S08,5
T04_0635,06:35:00,06:36:00,S05,1
T04_0635,06:40:00,06:41:00,S16,2
T04_0635,06:47:00,06:48:00,S20,3
T04_0635,06:55:00,06:56:00,S07,4
T04_0635,07:03:00,07:04:00,S08,5
T04_0655,06:55:00,06:56:00,S05,1
T04_0655,07:00:00,07:01:00,S16,2
T04_0655,07:07:00,07:08:00,S20,3
T04_0655,07:15:00,07:16:00,S07,4
T04_0655,07:23:00,07:24:00,S08,5
T04_0715,07:15:00,07:16:00,S05,1
T04_0715,07:20:00,07:21:00,S16,2
T04_0715,07:27:00,07:28:00,S20,3
T04_0715,07:35:00,07:36:00,S07,4
T04_0715,07:43:00,07:44:00,S08,5
T04_0735,07:35:00,07:36:00,S05,1
T04_0735,07:40:00,07:41:00,S16,2
T04_0735,07:47:00,07:48:00,S20,3
T04_0735,07:55:00,07:56:00,S07,4
T04_0735,08:03:00,08:04:00,S08,5
T05_0600,06:00:00,06:01:00,S01,1
T05_0600,06:06:00,06:07:00,S13,2
T05_0600,06:12:00,06:13:00,S14,3
T05_0600,06:20:00,06:21:00,S15,4
T05_0630,06:30:00,06:31:00,S01,1
T05_0630,06:36:00,06:37:00,S13,2
T05_0630,06:42:00,06:43:00,S14,3
T05_0630,06:50:00,06:51:00,S15,4
T05_0700,07:00:00,07:01:00,S01,1
T05_0700,07:06:00,07:07:00,S13,2
T05_0700,07:12:00,07:13:00,S14,3
T05_0700,07:20:00,07:21:00,S15,4
T05_0730,07:30:00,07:31:00,S01,1
T05_0730,07:36:00,07:37:00,S13,2
T05_0730,07:42:00,07:43:00,S14,3
T05_0730,07:50:00,07:51:00,S15,4
T05_0800,08:00:00,08:01:00,S01,1
T05_0800,08:06:00,08:07:00,S13,2
T05_0800,08:12:00,08:13:00,S14,3
T05_0800,08:20:00,08:21:00,S15,4
