trip_id,route_id,service_id
T01_0600,R01,weekday
T01_0620,R01,weekday
T01_0640,R01,weekday
T01_0700,R01,weekday
T01_0720,R01,weekday
T01_0740,R01,weekday
T01_0800,R01,weekday
T02_0610,R02,weekday
T02_0630,R02,weekday
T02_0650,R02,weekday
T02_0710,R02,weekday
T02_0730,R02,weekday
T02_0750,R02,weekday
T03_0605,R03,weekday
T03_0625,R03,weekday
T03_0645,R03,weekday
T03_0705,R03,weekday
T03_0725,R03,weekday
T04_0615,R04,weekday
T04_0635,R04,weekday
T04_0655,R04,weekday
T04_0715,R04,weekday
T04_0735,R04,weekday
T05_0600,R05,weekday
T05_0630,R05,weekday
T05_0700,R05,weekday
T05_0730,R05,weekday
T05_0800,R05,weekday
